U1/V,IA/nA
0.02,0.02
0.04,0.02
0.07,0.02
0.09,0.03
0.12,0.03
0.14,0.03
0.17,0.03
0.19,0.03
0.21,0.04
0.24,0.04
0.26,0.03
0.29,0.04
0.31,0.04
0.34,0.04
0.36,0.04
0.39,0.04
0.41,0.04
0.43,0.04
0.46,0.04
0.48,0.04
0.51,0.05
0.53,0.05
0.56,0.05
0.58,0.05
0.61,0.05
0.63,0.05
0.65,0.05
0.68,0.05
0.7,0.05
0.73,0.05
0.75,0.05
0.78,0.05
0.8,0.05
0.83,0.05
0.85,0.04
0.87,0.05
0.9,0.05
0.92,0.05
0.95,0.05
0.97,0.05
1,0.05
1.02,0.05
1.05,0.06
1.07,0.07
1.09,0.07
1.12,0.07
1.14,0.06
1.17,0.07
1.19,0.06
1.22,0.06
1.24,0.06
1.26,0.07
1.29,0.07
1.31,0.07
1.34,0.06
1.36,0.07
1.39,0.07
1.41,0.07
1.44,0.06
1.46,0.07
1.48,0.07
1.51,0.07
1.53,0.06
1.56,0.06
1.58,0.06
1.61,0.06
1.63,0.06
1.66,0.06
1.68,0.06
1.7,0.05
1.73,0.04
1.75,0.04
1.78,0.04
1.8,0.04
1.83,0.04
1.85,0.04
1.88,0.04
1.9,0.04
1.92,0.04
1.95,0.04
1.97,0.04
2,0.04
2.02,0.04
2.05,0.04
2.07,0.04
2.1,0.04
2.12,0.04
2.14,0.04
2.17,0.04
2.19,0.04
2.22,0.05
2.24,0.05
2.27,0.05
2.29,0.05
2.31,0.05
2.34,0.05
2.36,0.05
2.39,0.04
2.41,0.05
2.44,0.05
2.46,0.05
2.49,0.04
2.51,0.04
2.53,0.04
2.56,0.04
2.58,0.04
2.61,0.05
2.63,0.05
2.66,0.05
2.68,0.05
2.71,0.05
2.73,0.05
2.75,0.05
2.78,0.04
2.8,0.05
2.83,0.05
2.85,0.05
2.88,0.05
2.9,0.05
2.93,0.05
2.95,0.05
2.97,0.04
3,0.05
3.02,0.05
3.05,0.05
3.07,0.05
3.1,0.05
3.12,0.05
3.15,0.05
3.17,0.05
3.19,0.05
3.22,0.05
3.24,0.05
3.27,0.04
3.29,0.05
3.32,0.05
3.34,0.05
3.36,0.05
3.39,0.05
3.41,0.05
3.44,0.05
3.46,0.04
3.49,0.04
3.51,0.04
3.54,0.04
3.56,0.04
3.58,0.05
3.61,0.05
3.63,0.05
3.66,0.04
3.68,0.04
3.71,0.04
3.73,0.04
3.76,0.04
3.78,0.05
3.8,0.05
3.83,0.05
3.85,0.05
3.88,0.05
3.9,0.05
3.93,0.04
3.95,0.05
3.98,0.05
4,0.05
4.02,0.04
4.05,0.04
4.07,0.04
4.1,0.04
4.12,0.04
4.15,0.04
4.17,0.04
4.2,0.04
4.22,0.04
4.24,0.04
4.27,0.04
4.29,0.04
4.32,0.04
4.34,0.04
4.37,0.04
4.39,0.05
4.42,0.04
4.44,0.04
4.46,0.04
4.49,0.04
4.51,0.04
4.54,0.05
4.56,0.05
4.59,0.05
4.61,0.05
4.63,0.05
4.66,0.05
4.68,0.05
4.71,0.04
4.73,0.06
4.76,0.06
4.78,0.06
4.81,0.06
4.83,0.06
4.85,0.06
4.88,0.06
4.9,0.05
4.93,0.06
4.95,0.06
4.98,0.06
5,0.07
5.03,0.07
5.05,0.08
5.07,0.08
5.1,0.08
5.12,0.09
5.15,0.09
5.17,0.09
5.2,0.09
5.22,0.09
5.25,0.1
5.27,0.1
5.29,0.1
5.32,0.11
5.34,0.11
5.37,0.12
5.39,0.12
5.42,0.13
5.44,0.13
5.47,0.13
5.49,0.14
5.51,0.15
5.54,0.15
5.56,0.16
5.59,0.16
5.61,0.17
5.64,0.18
5.66,0.18
5.68,0.19
5.71,0.2
5.73,0.2
5.76,0.21
5.78,0.22
5.81,0.23
5.83,0.23
5.86,0.23
5.88,0.24
5.9,0.25
5.93,0.25
5.95,0.26
5.98,0.26
6,0.28
6.03,0.28
6.05,0.28
6.08,0.29
6.1,0.3
6.12,0.32
6.15,0.32
6.17,0.33
6.2,0.35
6.22,0.35
6.25,0.35
6.27,0.36
6.3,0.37
6.32,0.37
6.34,0.37
6.37,0.38
6.39,0.39
6.42,0.39
6.44,0.39
6.47,0.4
6.49,0.41
6.52,0.41
6.54,0.41
6.56,0.42
6.59,0.43
6.61,0.42
6.64,0.42
6.66,0.43
6.69,0.44
6.71,0.44
6.73,0.44
6.76,0.45
6.78,0.44
6.81,0.43
6.83,0.43
6.86,0.44
6.88,0.45
6.91,0.45
6.93,0.44
6.95,0.45
6.98,0.46
7,0.46
7.03,0.47
7.05,0.48
7.08,0.48
7.1,0.48
7.13,0.48
7.15,0.48
7.17,0.49
7.2,0.49
7.22,0.49
7.25,0.5
7.27,0.5
7.3,0.5
7.32,0.51
7.35,0.51
7.37,0.52
7.39,0.51
7.42,0.52
7.44,0.53
7.47,0.53
7.49,0.53
7.52,0.53
7.54,0.54
7.57,0.54
7.59,0.54
7.61,0.54
7.64,0.55
7.66,0.55
7.69,0.55
7.71,0.55
7.74,0.56
7.76,0.56
7.78,0.56
7.81,0.57
7.83,0.57
7.86,0.57
7.88,0.57
7.91,0.57
7.93,0.58
7.96,0.58
7.98,0.58
8,0.59
8.03,0.6
8.05,0.59
8.08,0.59
8.1,0.59
8.13,0.6
8.15,0.6
8.18,0.6
8.2,0.61
8.22,0.62
8.25,0.62
8.27,0.62
8.3,0.62
8.32,0.63
8.35,0.62
8.37,0.62
8.4,0.63
8.42,0.63
8.44,0.63
8.47,0.63
8.49,0.64
8.52,0.65
8.54,0.64
8.57,0.64
8.59,0.65
8.62,0.65
8.64,0.65
8.66,0.65
8.69,0.66
8.71,0.66
8.74,0.66
8.76,0.66
8.79,0.67
8.81,0.67
8.84,0.67
8.86,0.67
8.88,0.68
8.91,0.68
8.93,0.68
8.96,0.68
8.98,0.69
9.01,0.69
9.03,0.69
9.05,0.69
9.08,0.7
9.1,0.7
9.13,0.7
9.15,0.7
9.18,0.71
9.2,0.71
9.23,0.71
9.25,0.71
9.27,0.72
9.3,0.72
9.32,0.72
9.35,0.72
9.37,0.73
9.4,0.73
9.42,0.74
9.45,0.74
9.47,0.75
9.49,0.74
9.52,0.74
9.54,0.75
9.57,0.75
9.59,0.75
9.62,0.75
9.64,0.76
9.67,0.76
9.69,0.76
9.71,0.75
9.74,0.77
9.76,0.77
9.79,0.77
